LP_92,LP_95,LAD,LSD,LK
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
137.0,155.0,84.0,106.3,71.0
